潮汕,#genre#
CCTV9,http://router.bingyu.in:40000/rtp/239.253.252.79:8000
CCTV10,http://router.bingyu.in:40000/rtp/239.253.252.236:8000
CCTV11,http://router.bingyu.in:40000/rtp/239.253.252.12:8000
CCTV12,http://router.bingyu.in:40000/rtp/239.253.252.237:8000
CCTV13,http://router.bingyu.in:40000/rtp/239.253.252.14:8000
CCTV14,http://router.bingyu.in:40000/rtp/239.253.252.238:8000
CCTV14,http://router.bingyu.in:40000/rtp/239.253.252.223:8000
CCTV15,http://router.bingyu.in:40000/rtp/239.253.252.16:8000
CCTV17,http://router.bingyu.in:40000/rtp/239.253.252.168:8000
CCTV1,http://ty.19911013.top:8888/rtp/239.253.230.77:8000
CCTV2,http://ty.19911013.top:8888/rtp/239.253.230.234:8000
CCTV3,http://ty.19911013.top:8888/rtp/239.253.230.4:8000
CCTV4,http://ty.19911013.top:8888/rtp/239.253.230.111:8000
CCTV5,http://ty.19911013.top:8888/rtp/239.253.230.6:8000
CCTV5+,http://ty.19911013.top:8888/rtp/239.253.230.80:8000
CCTV6,http://ty.19911013.top:8888/rtp/239.253.230.7:8000
CCTV7,http://ty.19911013.top:8888/rtp/239.253.230.235:8000
CCTV8,http://ty.19911013.top:8888/rtp/239.253.230.9:8000
CCTV9,http://ty.19911013.top:8888/rtp/239.253.230.79:8000
CCTV10,http://ty.19911013.top:8888/rtp/239.253.230.236:8000
CCTV11,http://ty.19911013.top:8888/rtp/239.253.230.12:8000
CCTV12,http://ty.19911013.top:8888/rtp/239.253.230.237:8000
CCTV13,http://ty.19911013.top:8888/rtp/239.253.230.14:8000
CCTV14,http://ty.19911013.top:8888/rtp/239.253.230.238:8000
CCTV15,http://ty.19911013.top:8888/rtp/239.253.230.16:8000
CCTV17,http://ty.19911013.top:8888/rtp/239.253.230.168:8000
CGTV,http://ty.19911013.top:8888/rtp/239.253.230.17:8000
CETV1,http://ty.19911013.top:8888/rtp/239.253.230.110:8000
CETV2,http://ty.19911013.top:8888/rtp/239.253.230.107:8000
CETV4,http://ty.19911013.top:8888/rtp/239.253.230.108:8000
CCTV1,http://wh.bh3bbb.com:40000/rtp/239.253.230.77:8000
CCTV2,http://wh.bh3bbb.com:40000/rtp/239.253.230.234:8000
CCTV3,http://wh.bh3bbb.com:40000/rtp/239.253.230.4:8000
CCTV4,http://wh.bh3bbb.com:40000/rtp/239.253.230.111:8000
CCTV5,http://wh.bh3bbb.com:40000/rtp/239.253.230.6:8000
CCTV5+,http://wh.bh3bbb.com:40000/rtp/239.253.230.80:8000
CCTV6,http://wh.bh3bbb.com:40000/rtp/239.253.230.7:8000
CCTV7,http://wh.bh3bbb.com:40000/rtp/239.253.230.235:8000
CCTV8,http://wh.bh3bbb.com:40000/rtp/239.253.230.9:8000
CCTV9,http://wh.bh3bbb.com:40000/rtp/239.253.230.79:8000
CCTV10,http://wh.bh3bbb.com:40000/rtp/239.253.230.236:8000
CCTV11,http://wh.bh3bbb.com:40000/rtp/239.253.230.12:8000
CCTV12,http://wh.bh3bbb.com:40000/rtp/239.253.230.237:8000
CCTV13,http://wh.bh3bbb.com:40000/rtp/239.253.230.14:8000
