潮汕,#genre#  
CETV1,http://sgl.vpsyun.cc:4000/udp/239.253.238.110:8000
CETV2,http://sgl.vpsyun.cc:4000/udp/239.253.238.107:8000
CETV4,http://sgl.vpsyun.cc:4000/udp/239.253.238.108:8000
CCTV1,http://www.cjtt.love:9307/rtp/239.253.250.77:8000
CCTV2,http://www.cjtt.love:9307/rtp/239.253.250.234:8000
CCTV3,http://www.cjtt.love:9307/rtp/239.253.250.4:8000
CCTV4,http://www.cjtt.love:9307/rtp/239.253.250.111:8000
CCTV5,http://www.cjtt.love:9307/rtp/239.253.250.6:8000
CCTV5+,http://www.cjtt.love:9307/rtp/239.253.250.80:8000
CCTV6,http://www.cjtt.love:9307/rtp/239.253.250.7:8000
CCTV7,http://www.cjtt.love:9307/rtp/239.253.250.235:8000
CCTV8,http://www.cjtt.love:9307/rtp/239.253.250.9:8000
CCTV9,http://www.cjtt.love:9307/rtp/239.253.250.79:8000
CCTV10,http://www.cjtt.love:9307/rtp/239.253.250.236:8000
CCTV11,http://www.cjtt.love:9307/rtp/239.253.250.12:8000
CCTV12,http://www.cjtt.love:9307/rtp/239.253.250.237:8000
CCTV13,http://www.cjtt.love:9307/rtp/239.253.250.14:8000
CCTV14,http://www.cjtt.love:9307/rtp/239.253.250.238:8000
CCTV15,http://www.cjtt.love:9307/rtp/239.253.250.16:8000
CCTV17,http://www.cjtt.love:9307/rtp/239.253.250.168:8000
CGTV,http://www.cjtt.love:9307/rtp/239.253.250.17:8000
CETV1,http://www.cjtt.love:9307/rtp/239.253.250.110:8000
CETV2,http://www.cjtt.love:9307/rtp/239.253.250.107:8000
CETV4,http://www.cjtt.love:9307/rtp/239.253.250.108:8000
CCTV1,http://www.sd966.cn:12314/rtp/239.253.252.77:8000
CCTV2,http://www.sd966.cn:12314/rtp/239.253.252.234:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.4:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.124:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.129:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.191:8000
CCTV4,http://www.sd966.cn:12314/rtp/239.253.252.111:8000
CCTV5,http://www.sd966.cn:12314/rtp/239.253.252.6:8000
CCTV5,http://www.sd966.cn:12314/rtp/239.253.252.192:8000
央视网5,http://www.sd966.cn:12314/rtp/239.253.252.109:8000
央视网5,http://www.sd966.cn:12314/rtp/239.253.252.131:8000
CCTV5+,http://www.sd966.cn:12314/rtp/239.253.252.80:8000
CCTV6,http://www.sd966.cn:12314/rtp/239.253.252.7:8000
CCTV6,http://www.sd966.cn:12314/rtp/239.253.252.193:8000
CCTV7,http://www.sd966.cn:12314/rtp/239.253.252.235:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.211:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.9:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.194:8000
CCTV9,http://www.sd966.cn:12314/rtp/239.253.252.79:8000
CCTV10,http://www.sd966.cn:12314/rtp/239.253.252.236:8000
CCTV11,http://www.sd966.cn:12314/rtp/239.253.252.12:8000
CCTV12,http://www.sd966.cn:12314/rtp/239.253.252.237:8000
CCTV13,http://www.sd966.cn:12314/rtp/239.253.252.14:8000
CCTV14,http://www.sd966.cn:12314/rtp/239.253.252.238:8000
CCTV14,http://www.sd966.cn:12314/rtp/239.253.252.223:8000
CCTV15,http://www.sd966.cn:12314/rtp/239.253.252.16:8000
CCTV17,http://www.sd966.cn:12314/rtp/239.253.252.168:8000
CCTV1综合,http://dp.sxtv.top:88/2b/migu.php?id=cctv1
CCTV2财经,http://dp.sxtv.top:88/2b/migu.php?id=cctv2
CCTV3综艺,http://dp.sxtv.top:88/2b/migu.php?id=cctv3
CCTV4中文国际,http://dp.sxtv.top:88/2b/migu.php?id=cctv4
CCTV4美洲,http://dp.sxtv.top:88/2b/migu.php?id=cctv4a
CCTV4欧洲,http://dp.sxtv.top:88/2b/migu.php?id=cctv4o
CCTV5体育,http://dp.sxtv.top:88/2b/migu.php?id=cctv5
CCTV5+体育赛事,http://dp.sxtv.top:88/2b/migu.php?id=cctv5p
CCTV6电影,http://dp.sxtv.top:88/2b/migu.php?id=cctv6
CCTV7国防军事,http://dp.sxtv.top:88/2b/migu.php?id=cctv7
CCTV8电视剧,http://dp.sxtv.top:88/2b/migu.php?id=cctv8
CCTV9纪录,http://dp.sxtv.top:88/2b/migu.php?id=cctv9
CCTV10科教,http://dp.sxtv.top:88/2b/migu.php?id=cctv10
CCTV11戏曲,http://dp.sxtv.top:88/2b/migu.php?id=cctv11
CCTV12社会与法,http://dp.sxtv.top:88/2b/migu.php?id=cctv12
CCTV13新闻,http://dp.sxtv.top:88/2b/migu.php?id=cctv13
CCTV14少儿,http://dp.sxtv.top:88/2b/migu.php?id=cctv14
CCTV15音乐,http://dp.sxtv.top:88/2b/migu.php?id=cctv15
CCTV17农业农村,http://dp.sxtv.top:88/2b/migu.php?id=cctv17
CCTV1,http://router.bingyu.in:40000/rtp/239.253.252.77:8000
CCTV2,http://router.bingyu.in:40000/rtp/239.253.252.234:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.4:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.124:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.129:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.191:8000
CCTV4,http://router.bingyu.in:40000/rtp/239.253.252.111:8000
CCTV5,http://router.bingyu.in:40000/rtp/239.253.252.6:8000
